id,title,option_1,option_2,option_3,option_4,answer,section_id
15,The counter Clerk was very busy and ____ not pay any ___ to the customer's request,"can, help","could, respect","had, cash","did, attention","did, attention",1
16,"In the question below, there is a sentence with jumbled up parts. Rearrange these parts, which are labelled A, B, C and D to produce the correct sentence. Choose the proper sequence.",,,,,,1
17,I would like to express…….,my deep acknowledgement,towards editing the manuscript into a visual learning tool,who dedicated a lot of time and effort,to the copy editor and the technical editor,ADCB,1
18,"Choose the pair of words which have a relationship similar to that between the given pair of words,Penniless: Millionaire",Arrogant: Wealthy,Indigenous: Native,Crude: Refined,Gorgeous: Lovely,Crude: Refined,1
19,Which of the following is rightly spelt.,Contiguous,Contigous,Contaguous,Contegeous,Contiguous,1
20,"I did not like what I wore but I did not much care, for I was always of the opinion that …………….",shabby clothes is beautiful,real beauty was what lay on the inside,I will buy new clothes tomorrow,I was too happy to notice,real beauty was what lay on the inside,1
21,"Contrary to what many devotees would like to believe, researchers have found the water of the holy river……….. harmful micro-organisms.",helped by,teeming with,completely free from,defended against,teeming with,1
22,"Following is a set of four sentences. Choose the sentence which is most appropriate – grammatically, semantically and logically.",The word 'discipline' means a training that produces obedience or self-controlled behaviour to the orders of a proper authority.,The word 'discipline' means a training that produces obedience or self-controlled behaviour at the orders for a proper authority.,Discipline’ is a word that produces obedience or self-controlled behavior to the orders of a proper authority.,Discipline is nothing but training that produces obedience and self-control to orders of authority.,The word 'discipline' means a training that produces obedience or self-controlled behaviour to the orders of a proper authority.,1
23,"A situation is provided below, followed by a idiom or proverb. Choose the one which fits the situation best.If you repay injustice with injustice, it will only make matters worse",People who live in glass houses should not throw stones,Handsome is as handsome does.,Two wrongs don’t make a right,Let not injustice beget injustice,Two wrongs don’t make a right,1
24,"In the question below choose the alternative that best substitutes the underlined expression .If you look, you will find a hole in the side of every ship that allows water to drain from the deck.",Sink,Drain,Scabbard,Scupper,Scupper,1
25,"Choose the word most nearly opposite in meaning to the given word,Daunt",Frighten,Challenge,Intimidate,Hearten,Hearten,1
26,"In the question below, there is a sentence with jumbled up parts. Rearrange these parts, which are labelled A, B, C and D to produce the correct sentence. Choose the proper sequence.I have been sharing Roger’s …..",production curve for a long time,what’s actually happening,but I realize that it doesn’t,viscerally explain,ACDB,1
27,"Following is a set of four sentences. Choose the sentence which is most appropriate – grammatically, semantically and logically",Hi Harish. Long time no see. How was it going?,Hi Harish. We haven’t meet in a long time. How is it going?,Hi Harish. We haven’t met in a long time. How is it going?,Hi Harish. Long time no meet. How has it been going?,Hi Harish. We haven’t met in a long time. How is it going?,1
28,He could easily cover his rural ______,assent,ascent,accent,acent,accent,1
29,Your understanding of the situation sounds good. I ______ the solution you have provided.,Accept,Except,Expect,Stand by,Accept,1
30,Mike had __________ finished the whole pizza by the time his guests arrived,already,allready,all ready,just,already,1
31,We rowed the boat __________ so that none of us would get tired,alternatively,alternate,alternately,turn wise,alternately,1
32,The ceremony at the church was conducted at the ___________,podium,alter,table,altar,altar,1
33,The new teacher was a very _______________ and liked by all the students.,beautiful,intelligent,amicable,amiable,amiable,1
34,The children were __________ to watch the kites fly.,amused,bemused,confused,affused,amused,1
35,"In each of the questions below, a part of the sentence has been underlined. Replace the underlined part with the most appropriate choice from the four options provided below. In case no improvement is required, choose the option d.) no improvement required. Pragati is a pioneer in the Indian recruitment industry possessing HO in Mumbai and offices in all key metros.",with HO in Mumbai,having HO in Mumbai,having their HO at Mumbai,no improvement required,having their HO at Mumbai,1
36,"In each of the questions below, a part of the sentence has been underlined. Replace the underlined part with the most appropriate choice from the four options provided below. In case no improvement is required, choose the option d.) no improvement required. Image Consulting is the profession of guiding individuals and companies in creating a winning image for the society",to develop a bigger brand value,on projecting a winning image to create great impressions.,to make a star image,no improvement required.,on projecting a winning image to create great impressions.,1
37,"Choose the pair of words which have a relationship similar to that between the given pair of words,Natural : Synthetic",Introduction : Thesis,Fragrance : Perfume,Chalk : Powder,Gas : Petroleum,Fragrance : Perfume,1
38,"Choose the pair of words which do not have a relationship similar to that between the given pair of words,Crash : Course",Antique : silver,Old : memories,Public : Government,Sincere : Student,Public : Government,1
39,"Choose the pair of words which do not have a relationship similar to that between the given pair of words,Woollen : Cold",Seat belt : Car,Knee guards : Skating,Cotton: Hot,Socks : Shoes,Cotton: Hot,1
40,Choose the pair of words which do not have a relationship similar to that between the given pair of words.Paw:Cat then Hoof:?, Lion,Horse,Lamb,Elephant,Horse,1
41,Choose the pair of words which do not have a relationship similar to that between the given pair of words .Scribble : Write then Stammer : ?, Shout, Weep, Dance,Speak,Speak,1
42,Choose the pair of words which do not have a relationship similar to that between the given pair of words .Sculptor : Statue then Poet : ?,Canvas, Pen, Verse,Chisel, Verse,1
43,Choose the pair of words which do not have a relationship similar to that between the given pair of words.Ornithologist : Birds then Anthropologist : ?, Environment, Mankind, Animals, Plants, Mankind,1
44,Choose the pair of words which do not have a relationship similar to that between the given pair of words.Foresight : Anticipation then Insomnia : ?, Treatment, Unrest, Dark,Sleeplessness,Sleeplessness,1
45,"Fill in the blanks with the correctly spelled alternative,This is simply not ………..",acceptable,acceptible,aceptable,acceptable,acceptable,1
46,"Fill in the blanks with the correctly spelled alternative,He admonished her ……....",publicaly,publicly,publically,publicily,publicly,1
47,"The sentence below is divided into three parts. Identify where the error lies. If there is no error, select the option ‘no error’. Crops are usually growing faster in rainy season than in winter.",Crops,are usually growing faster,in rainy season than in winter,no error,are usually growing faster,1
48,"The sentence below is divided into three parts. Identify where the error lies. If there is no error, select the option ‘no error’.Several people got on a bus and left to Ramgarh.",Several people,got on a bus and,left to Ramgarh,no error,left to Ramgarh,1
49,"The sentence below is divided into three parts. Identify where the error lies. If there is no error, select the option ‘no error’.I am happy to had been of assistance.",I am happy,to had been,of assistance,no error,to had been,1
50,My boat was moored ……. an old bathing ghat.,besides,beside,against,with,beside,1
51,I looked up and saw a man who seemed half-starved and …………..,handsome,as cunning as a fox,out of fortune,extremely agile,out of fortune,1
52,"In the following question, three words are alike in some manner, Spot the odd one out.",Rectangle,Square,Triangle,Cone,Cone,1
53,Write the plural forms for the below words. Berry,berria,berrys,berries,berrians,berries,1
54,Write the plural forms for the below words.Basis,bassis,bases,basises,basium,bases,1
55,Write the plural forms for the below words.Quarter,quarteres,quarterres,quarters,none of these,quarters,1
56,Write the plural forms for the below words.Violin,an,en,ty,ist,ist,1
57,Write the plural forms for the below words.Gene,ic,eu,tic,ize,tic,1
58,Write the plural forms for the below words.Captivate,on,en,tion,ton,tion,1
59,Write the plural forms for the below words.Wreck,an,en,age,ee,age,1
60,Write the plural forms for the below words.Coward,ic,ing,ice,ion,ic,1
61,Write the plural forms for the below words.Withdraw,Reduce,Need,Advance,Want,Advance,1
62,Write the plural forms for the below words .Secret,Friendly,Covert,Hidden,Overt,Overt,1
63,Write the plural forms for the below words.Awe,Borrow,Shallow,Low,Contempt,Contempt,1
64,Write the plural forms for the below words.Common,Strange,Uneasy,Quick,Fast,Strange,1
65,Write the plural forms for the below words.Expect,Attend,Regret,Despair,Loathe,Despair,1
66,Write the plural forms for the below words.Kindle,Smother,Detest,Enemy,Discourage,Smother,1
67,Everyone in this universe is accountable to God ----------- his actions.,about,against,for,of,for,1
68,The opposition parties allege that prices of essential commodities are ----------- like a runaway ballon.,soaring,reviving,flying,leaping,soaring,1
69,No sooner did he me ----------- he tried to run away.,"notice, when","see, than","observe, soon","watch, that","see, than",1
70,"Knowledge is like a deep well fed by ----------- springs, and your mind is the little bucket that you drop in it.",perennial,eternal,sterling,immortal,perennial,1
71,I decided to sell a piece of land when I was offered a more ----------- price.,correct,TRUE,exact,realistic,realistic,1
72,His ----------- of the topic was so good that students had few doubts to raise at the end.,exposure,clarity,exposition,picturisation,exposition,1
73,Write the synonym,,,,,,1
74,Write the synonym.Detest,Argue,Hate,Discover,Reveal,Hate,1
75,Write the synonym.Gracious,Pretty,Clever,Pleasant,Present,Pleasant,1
76,Write the synonym Kin,Exult,Twist,Friend,Relative,Relative,1
77,Write the synonym.Pensive,Oppressed,Caged,Thoughtful,Happy,Thoughtful,1
78,Write the synonym.Apportion,Divide,Decide,Cut,Squabble,Divide,1
79,Write the synonym.Qualm,Distress,Impunity,Persevere,Scruple,Scruple,1
80,Write the synonym.Wary,Calm,Curved,Confused,Cautious,Cautious,1
81,Write the synonym.Sumptuous,Delirious,Gorgeous,Perilous,Luxurious,Luxurious,1
82,Write the synonym.Inscrutable,Difficult,Mysterious,Inflexible,Wary,Mysterious,1
83,Write the synonym.Chimera,Chimney,Protest,Illusion,Panache,Illusion,1
84,One who knows many languages?,Speaker,Linguist,Debator,Stylist,Linguist,1
85,One who talks in one's sleep,Somnambulist,Somniloquist,Neomatic,Dreamer,Somniloquist,1
86,One who settles in another country,Settler,Resident,Immigrant,None,Immigrant,1
87,One who lives on flesh,Herbivorous,Omnivorous,Carnivorous,Carnivorous,Carnivorous,1
88,The house of an Eskimo,Hut,Building,Hamlet,Igloo,Igloo,1
89,The study of mountains,Philology,Paleontology,Orology,Ornithology,Orology,1
90,A hater of marriage,Misogynist,Polyandrist,Widower,Polygamic,Misogynist,1
91,A war of religion,Civil war,Guerilla war,Crusade,Invasion,Crusade,1
92,One who collects postage stamps,Philatelist,Numismatists,Lepidopterist,Deltiologist,Philatelist,1
93,"The shallower ………….. earthquake, the more damage to structures it causes.",a,an,the,none,an,1
94,Bananas are sold by …………. dozen.,a,an,the,none,the,1
95,worked ……… day and night.,a,an,the,none,none,1
96,Dwayne Bravo is the captain of ……….. West Indies ODI team.,a,an,the,none,the,1
97,She bought ………………. gift to her daughter.,a,an,the,none,a,1
98,I gave ………….. one rupee note to a beggar.,a,an,the,none,a,1
99,He plays …………. Cricket.,a,an,the,none,none,1
100,……….. origins of Sikhism lie in the teachings of Guru Nanak and his successors,a,an,the,none,the,1
101,There’s ………… outside chance of winning.,a,an,the,none,an,1
102,Onions cost Rs.10 …………. kilo,a,an,the,none,a,1
103,"……… more you earn, ……….. more you spend.",a,an,the,none,the,1
104,She never goes to ……….. play.,a,an,the,none,a,1
105,They are much of ………….. age.,a,an,the,none,an,1
106,They have learnt ……. English,a,an,the,none,None,1
107,Sentence Correction,,,,,,1
108,Sentence Correction.The bus (a) / came at 10 o’clock (b) / in the next morning. (c) / No error (d),a,b,c,d,c,1
109,Sentence Correction.I haven’t been (a) / to Delhi before and (b) / neither my brother. (c) / No error (d),a,b,c,d,c,1
110,Sentence Correction.The (a) / young woman (b) / had no manner. (c) / No error (d),a,b,c,d,c,1
111,Sentence Correction.This is the boy (a) / whom I said (b) / had helped me. (c) / No error (d),a,b,c,d,b,1
112,Sentence Correction.I have tried (a) / to meet her several times (b) / she isn’t never at home. (c) / No error (d),a,b,c,d,c,1
113,Sentence Correction.Indian ocean (a)/ lies in the (b)/ southern part of (c)/ India (d),a,b,c,d,a,1
114,Sentence Correction.I have read (a)/ Amartyasen's Articles (b)/ who won (c)/ the Nobel prize for economics (d).,a,b,c,d,b,1
115,Sentence Correction.I (a)/ have finished (b)/ my work (c)/ last evening (d).,a,b,c,d,b,1
116,Each of the loan must be approved by the Branch Manager,Every loan,Each one of the loan,Any of the loans,All of the loan,Every loan,1
117,The issue was taken before the Municipal Corporation meeting last week,Taking place at,Taken after,Being taken in,Taken up at,Taken up at,1
118,He has asked for the names of those employees involved in the project.,had asked,having asked about,is asking,no correction required,no correction required,1
119,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",Light,Fight,Might,Hight,Hight,1
120,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",Abbreviation,Dictionery,Vocabulary,Advertisement,Dictionery,1
121,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",Publication,Distribution,Complementary,Pigmentes,Pigmentes,1
122,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",Sweb,Sussed,Surprise,Astonishment,Sweb,1
123,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",Emaciated,Breadbasket,Stomakh,Physically,Stomakh,1
124,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",Perhaps,Perch,Oral,Harmomy,Harmomy,1
125,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",WARY,Excitement,Interpreter,Influnce,Influnce,1
126,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",Accelerate,Provacative,Enthusism,Spectate,Provacative,1
127,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",Affected,Earthquaks,Environment,Guinness,Earthquaks,1
128,"In each question below four words are given, one of which may be wrongly spelt. Find the wrongly spelt word.",Dejected,blistering,uninterrupted,disabilitis,disabilitis,1
129,The trend _____ price rise is unfortunate,of,in,from,by,of,1
130,Adulteration _____ food stuff is going unchecked.,of,in,to,by,in,1
131,The man who was killed _____ road accident was a stranger.,by,from,in,of,in,1
132,He slipped away ________ the crowd to avoid arrest.,to,about,against,from,From,1
133,The man died _____ heart attack without receiving any treatment.,of,in,from,by,of,1
134,The policeman was accused ______ murder.,by,of,in,from,of,1
135,The disciplinary action committed ______ the party sealed their fate.,by,to,of,in,by,1
136,There could be stiff resistance _______ the bill from various quarters.,against,from,by,in,against,1
137,Please accompany me _______ my room to collect the material.,to,by,in,at,to,1
138,My friend called ______ me to offer congratulation ______ my success,"on, on","on, at","at, on","in, on","on, on",1
139,A bundle of hay,Truss,Struts,Roof,cock,Truss,1
140,A cluster of houses in a village,Hamlet,crossroads,juncture,settlement,Hamlet,1
141,A collection of eggs,ALBUMEN,SPLATS,YOLK,CLUTCH,CLUTCH,1
142,A collection of wild animals,"Menagerie, Zoo",Bunch,Lints,Tribes,"Menagerie, Zoo",1
143,"A collection of wood, hay, corn, piled together",Bunch,Medley,Grimm,Stack,Stack,1
144,A large collection of trees,IRS,Larches,Forest,Mast,Forest,1
145,A mass of hair,Ingot,Garner,Side,"Shock, Fell","Shock, Fell",1
146,One who is honourably discharged from service,Retired,Emeritus,Relieved,Emancipated,Emeritus,1
147,That which cannot be believed,Incredible,Unreliable,Implausible,Incredulous,Incredible,1
148,A fixed orbit in space in relation to earth,Geological,Geosynchronous,Geostationary,Geocentric,Geostationary,1
149,"In each of the following questions a sentence in the direct speech is given. Below this four alternatives are given. Among these one is the Indirect Speech of the question.Choose the correct alternatives.Jasrtitha said, ""I was knitting then"".",Jasrtitha said that she was knitting then,Jasrtitha said that she had been kniting then,Jasrtitha said that she has been knitting then,Jasrtitha said that she had been knitting now.,Jasrtitha said that she had been kniting then,1
150,"In each of the following questions a sentence in the direct speech is given. Below this four alternatives are given. Among these one is the Indirect Speech of the question.Choose the correct alternatives.I said, "" I should like to do it myself.""",I said that I should like to do it myself.,I said that he would like to do it myself.,I said that I should like to do it himself..,I said that he shall like to do it himself,I said that I should like to do it myself.,1
151,"In each of the following questions a sentence in the direct speech is given. Below this four alternatives are given. Among these one is the Indirect Speech of the question.Choose the correct alternatives.Vinay said to me, "" You should come to me tomorrow"".",Vinay said that he should come to me the next day.,Vinay told that you should come to me tomorrow,Vinay told me that I should go to him the next day,Vinay told me that I should come to him the next day,Vinay told me that I should go to him the next day,1
152,"In each of the following questions a sentence in the direct speech is given. Below this four alternatives are given. Among these one is the Indirect Speech of the question.Choose the correct alternatives. Murari said, "" I should answer the phone"".",Murari said that I should answer the phone,Murari said I should answer the phone.,Murari said that he will answer the phone,Murari said that he would answer the phone,Murari said that he would answer the phone,1
153,"In each of the following questions a sentence in the direct speech is given. Below this four alternatives are given. Among these one is the Indirect Speech of the question.Choose the correct alternatives. I said to him, ""You can come to me at any time.""",I told him that he could come to me at any time,I told him that he could come to me at any time,I told him that his could come to me at any time.,I told him that he would come to me at any time,I told him that he could come to me at any time,1
154,"In each of the following questions a sentence in the direct speech is given. Below this four alternatives are given. Among these one is the Indirect Speech of the question.Choose the correct alternatives. Anusha said to me, "" will you give me your pen for a few seconds"".?",Anusha said that would you give me your pen for a few seconds.,Anusha asked whether i will give her my pen for a few seconds,Anusha asked that whether i would give her my pen for a few seconds.,Anusha asked me if I would give her my pen for a few seconds.,Anusha asked me if I would give her my pen for a few seconds.,1
155,"In each of the following questions a sentence in the direct speech is given. Below this four alternatives are given. Among these one is the Indirect Speech of the question.Choose the correct alternatives. Naresh said to me, "" come to my house if you are free"".",Naresh told me to go to his house if I was free.,Naresh said that come to his house if he is free,Naresh invited me to come to his house if I was free.,Naresh invited me to go to his house if Iwas free,Naresh told me to go to his house if I was free.,1
156,"In each of the following questions a sentence in the direct speech is given. Below this four alternatives are given. Among these one is the Indirect Speech of the question.Choose the correct alternatives. ""German is easy to learn,"" Pawan said.",Pawan said that it is easy to learn the German,Pawan said if it is easy to learn German,Pawan said that German is easy to learn.,Pawan said German is easy to learn,Pawan said that German is easy to learn.,1
157,"In each of the following questions a sentence in the direct speech is given. Below this four alternatives are given. Among these one is the Indirect Speech of the question.Choose the correct alternatives. Murari says, "" I am unwell"".",Murari says that he is unwell.,Murari says that he was unwell,Murari said that he is unwell,Murari said that he was unwell,Murari says that he is unwell.,1
158,Pick the word/phrase closest in meaning to the given word:She had the nerve to suggest I was cheating,audacity,hope,courage,capability,audacity,1
159,"Read each sentence to find out whether there is any grammatical error in it. The error, if any, will be in one part of the stench. The alphabet of that part is given at the end of each phrase as the answer.As they planned a holiday (a)/ to Kashmir (b)/ they were happy that (c)it are a beautiful place(d)",a,b,c,d,d,1
160,"Look at the underlined part of the sentence below with three possible replacements for the underlined part given. If one of them (a), (b) or (c) is better than the underlined part, indicate your response against the corresponding letter. If none of these substitutions improve the sentence, choose (d) as your response.Not a word did they speak to the others about the sad turn of events",they spoke,they will speak,they have spoken,No improvement,No improvement,1
161,"There are two sentences. Each sentence has a blank in it. Five options are given below the sentence pair. Choose the option that fits both the blanks. 1. He went ___ in a huff.
2. She was ____ to Mumbai for a holiday",Of,Are,If,Off,Off,1
162,"Complete the following sentence/phrase with the most appropriate words/phrases with reference to grammar, idioms, proverbs and syntax.She did not want to show white feathers in the face of a tough mathematics paper at the board exam so she did not leave the hall.",Show she was scared,Show she was happy,Show she was proud,None of the above,Show she was scared,1
163,"In the question below, there is a sentence with jumbled up parts. Rearrange these parts, which are labelled A, B, C and D to produce the correct sentence. Choose the proper sequence.a. a)She wondered if b) work hard for a living c) he would ever d)because he was so rich. ",abcd,abdc,acbd,bcda,acbd,1
164,Out of the given choices. select the one which can be substituted for the given word or sentence. One who looks at the bright side of things,Pessimist,Dreamer,Optimist,None of the above,Optimist,1
165,"In the following question, an idiom or proverb is in quotes. Choose its correct meaning in the given context from the alternatives given below.She knew that it took ""two to tango"" and if he objected, she would not be able to pass the test.",two people to agree,two people to disagree,two people to be angry,None of the above,two people to agree,1
166,Choose the word most opposite in meaning to the given word.Atheist,Believer,Agnostic,Devotee,Follower,Believer,1
167,Choose the pair of words which have a relationship similar to that between the given pair of words.Perspective: Viewpoint,Sad: Disheartened,Clinic: Doctor,Book: Pencil,None of the above,None of the above,1
168,Pick the word/phrase closest in meaning to the given word:Prognosis,Scheme,Forecast,Prefare,None of the above,Forecast,1
169,The given sentence have been divided into parts out of which a part may contain grammatical error. Choose the part which has grammatical error or else choose ‘No error’ as your answer.It is improbable (a)/ she would bee (b)/ taken away (c)/ against her will (d).,a,b,c,d,b,1
170,"In the sentence given below a part is underlined and for that part options are given. Choose the most suitable option that can replace the underlined part.They are waiting for her since the afternoon.
",were waiting,wait,have been waiting,No improvement,have been waiting,1
171,"There are two sentences. Each sentence has a blank in it. Five options are given below the sentence pair. Choose the option that fits both the blanks.There is no joy __ failure.
2. He is ___ his shop today",Within,In,Inn,About,In,1
172,"Complete the following sentences with the most appropriate words/phrases with reference to grammar, idioms, proverbs and syntax.Like a fish ________",Out of aquarium,Out of water,Out of sea,Out of ocean,Out of water,1
173,"In the question below, there is a sentence with jumbled up parts. Rearrange these parts, which are labelled A, B, C and D to produce the correct sentence. Choose the proper sequence.a. a) The CEO b) of making the right decision c) was not scared d) despite a loss in profits",abcd,abdc,acbd,bcda,acbd,1
174,Choose the correct alternative which can be substituted for the below given word/ sentence - Fear of spiders is known as:,Hydrophobia,Social Phobia,Agoraphobia,Arachnophobia,Arachnophobia,1
175,"In the following question, an idiom or proverb is in quotes. Choose its correct meaning in the given context from the alternatives given below. She knew that the best way to ""get into hot water"" was to anger her boss",to enter water heated by the sun,to have hot water,to be confused,to get into trouble,to get into trouble,1
176,Pick the word/phrase most nearly opposite in meaning - Dictatorial,Pliable,Vulnerable,Weak,Happy,Pliable,1
177,Choose the pair of words which have a relationship similar to that between the given pair of words: Chance: Encounter,Deep: Sea,Artist: Doctor,Patient:Hospital,Educator: Teacher,Deep: Sea,1
178,"Pick the word/phrase closest in meaning to the given word :She had the ""nerve"" to suggest I was cheating",audacity,hope,courage,capability,audacity,1
179,"Read each sentence to find out whether there is any grammatical error in it. The error, if any, will be in one part of the stench. The alphabet of that part is given at the end of each phrase as the answer :As they planned a holiday (a)/ to Kashmir (b)/ they were happy that (c)/ it are a beautiful place",a,b,c,d,d,1
180,"Look at the underlined part of the sentence below with three possible replacements for the underlined part given. If one of them (a), (b) or (c) is better than the underlined part, indicate your response against the corresponding letter. If none of these substitutions improve the sentence, choose (d) as your response.""Not a word did they speak to the others about the sad turn of events""",they spoke,they will speak,they have spoken,No improvement,No improvement,1
181,"There are two sentences. Each sentence has a blank in it. 4 options are given below the sentence pair. Choose the option that fits both the blanks:1. He went ___ in a huff.
2. She was ____ to Mumbai for a holiday",Of,Are,If,Off,off,1
182,"Complete the following sentence/phrase with the most appropriate words/phrases with reference to grammar, idioms, proverbs and syntax : She did not want to show white feathers in the face of a tough mathematics paper at the board exam so she did not leave the hall.",Show she was scared,Show she was happy,Show she was proud,None of the above,Show she was scared,1
183,"In the question below, there is a sentence with jumbled up parts. Rearrange these parts, which are labelled A, B, C and D to produce the correct sentence. Choose the proper sequence: a. She wondered if b. work hard for a living c. he would ever d. because he was so rich",abcd,abdc,acbd,bcda,acbd,1
184,Out of the given choices. select the one which can be substituted for the given word or sentence: One who looks at the bright side of things,Pessimist,Dreamer,Optimist,None of the above,Optimist,1
185,Pick the word/phrase closest in meaning to the given word :Hyperbole,Exaggeration,Flaw,Overly Active,None of the above,Exaggeration,1
186,The given sentence have been divided into parts out of which a part may contain grammatical error. Choose the part which has grammatical error :There was a new project (a)/ very single day (b)/ for the company trainees (c)/ at the office headquarters (d),a,b,c,d,b,1
187,In the sentence given below a part is underlined and for that part options are given. Choose the most suitable option that can replace the underlined part: He was not bothered about putting up with appearances because he was leaving the company soon.,Pushing up with,Pulling up with,Keeping up with,Meeting up with,Keeping up with,1
188,"There are two sentences. Each sentence has a blank in it. Five options are given below the sentence pair. Choose the option that fits both the blanks :1. He had pinned his hopes ___ false promises.
2. She went __ to win the competition.",At,On,Under,After,On,1
189,"Complete the following sentences with the most appropriate words/phrases with reference to grammar, idioms, proverbs and syntax :Birds of feather ______________",fly together,flock together,dance together,tweet together,flock together,1
190,"In the question below, there is a sentence with jumbled up parts. Rearrange these parts, which are labelled A, B, C and D to produce the correct sentence. Choose the proper sequence.a. She danced with joy b. that she had topped c. when she found out d. the board examination.",abcd,abdc,acbd,bcda,acbd,1
191,Choose the correct alternative which can be substituted for the below given word/ sentence: Person who is two faced,Janus faced,Sincere,Versatile,None of the above,Janus faced,1
192,"In the following question, an idiom or proverb is Quoted. Choose its correct meaning in the given context from the alternatives given below : i was ""hoping against hope"" that she would agree to my proposal.",Hoping for something,Hoping against something,Hoping without any/little chance of success,None of the above,Hoping without any/little chance of success,1
193,Pick the word/phrase most nearly opposite in meaning:Achilles Heels,Strengths,Weaknesses,Flaws,None of the above,Strengths,1
194,Choose the pair of words which have a relationship similar to that between the given pair of words:Management: CEO,Journalism: Managing Editor,Office: Clerk,Hospital: Paramedic,None of the above,Journalism: Managing Editor,1
195,"Pick the word/phrase closest in meaning to the given word:Fastidious
",Lethargic,Fussy,Angry,Successful,Fussy,1
196,The given sentence have been divided into four parts out of which a part may contain grammatical error. Choose the part which has grammatical error : They wear going (a)/ to cancel his appointment (b)/ as the CEO (c)/ because of personal enmity (d).,a,b,c,d,a,1
197,In the sentence given below a part is Quoted. Choose the most suitable option that can replace the underlined part:She is dancing to the music of her boss’s whims.,tunes,songs,whistles,sounds,tunes,1
198,"There are two sentences. Each sentence has a blank in it. Five options are given below the sentence pair. Choose the option that fits both the blanks:1. He _____ fill the form
2. I don’t understand why he ______ always go to the office before time.",Was,Will,Has,Wants,Will,1
199,"Complete the following sentences with the most appropriate words/phrases with reference to grammar, idioms, proverbs and syntax :A stitch in time_______________",Saves till nine,Saves none,Saves till eight,None of the above,Saves till nine,1
200,"In the question below, there is a sentence with jumbled up parts. Rearrange these parts, which are labelled A, B, C and D to produce the correct sentence. Choose the proper sequence: a. She was wishing b. for her c. for something d. that was not good",abcd,abdc,acdb,bcda,acdb,1
201,Choose the correct alternative which can be substituted for the below given word/ sentence:A word meaning happy and joyful,Infuriated,Exhilarated,Despondent,None of the above,Exhilarated,1
202,"In the following question, an idiom or proverb has been Quoted. Choose its correct meaning in the given context from the alternatives given below:She realised there was no use ""crying over spilt milk"" when she saw the interviewer promising the job to someone else.",She has spilt milk,She realised it was useless to worry about something which cannot be changed,She was worried over the spilt milk,None of the above,She realised it was useless to worry about something which cannot be changed,1
203,Pick the world exactly opposite in meaning to the given word :Question,Response,Query,Issue,Conflict,Response,1
